Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_13_trace,32.30572509765625,Pass,6220.951784849167,40000052,6247076,6.4030,4243961,38077,0.6794,0.0061,0.8972%,0.9519,1076660,28.2759,26.9165,20000052,3061716,6.5323,2111572,17607,0.6897,0.0058,0.8338%,0.8803,513408,29.1593,25.6703
int,int_14_trace,177.29002475738525,Pass,6474.110920190811,39999640,6996481,5.7171,7635435,16143,1.0913,0.0023,0.2114%,0.4036,409462,25.3647,10.2366,20999640,3400645,6.1752,3974167,6911,1.1687,0.0020,0.1739%,0.3291,157867,22.8429,7.5176
int,int_15_trace,98.1560001373291,Pass,8137.059164047241,70000157,18504285,3.7829,9192864,33557,0.4968,0.0018,0.3650%,0.4794,1849541,55.1164,26.4220,35000157,9306866,3.7607,4669511,31788,0.5017,0.0034,0.6808%,0.9082,1473787,46.3630,42.1080
int,int_16_trace,128.2670030593872,Pass,7233.9399881362915,40000031,19014418,2.1037,6733574,324942,0.3541,0.0171,4.8257%,8.1235,7292695,22.4431,182.3172,20000031,8155459,2.4523,3364149,168309,0.4125,0.0206,5.0030%,8.4154,3626587,21.5472,181.3291
int,int_17_trace,128.60758018493652,Pass,6761.0042424201965,39999987,16646487,2.4029,6659971,256669,0.4001,0.0154,3.8539%,6.4167,5879469,22.9068,146.9868,20999987,6709837,3.1297,3432362,120664,0.5115,0.0180,3.5155%,5.7459,2648219,21.9471,126.1057
int,int_18_trace,108.31880569458008,Pass,6752.655535936356,39999864,11873389,3.3689,9457814,39011,0.7966,0.0033,0.4125%,0.9753,3022925,77.4890,75.5734,20999864,5678931,3.6979,4985263,17513,0.8779,0.0031,0.3513%,0.8340,1338735,76.4424,63.7497
int,int_19_trace,184.28955841064453,Pass,6529.55629324913,40000052,8069568,4.9569,5852871,37761,0.7253,0.0047,0.6452%,0.9440,1497306,39.6522,37.4326,20000052,3807615,5.2526,2929049,15277,0.7693,0.0040,0.5216%,0.7638,630043,41.2413,31.5021
int,int_20_trace,187.00185585021973,Pass,7748.049763441086,60000051,17417786,3.4448,9561405,171301,0.5489,0.0098,1.7916%,2.8550,5374383,31.3739,89.5730,30000051,7255710,4.1347,4877083,83670,0.6722,0.0115,1.7156%,2.7890,2313533,27.6507,77.1176
int,int_21_trace,91.63193035125732,Pass,6280.134671926498,40000052,46434723,0.8614,9059172,965188,0.1951,0.0208,10.6543%,24.1297,41566842,43.0661,1039.1697,20000052,22858527,0.8749,4504449,495354,0.1971,0.0217,10.9970%,24.7676,20391433,41.1654,1019.5690
int,int_22_trace,96.68442058563232,Pass,7117.516720533371,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_23_trace,182.35865116119385,Pass,7082.404291152954,40000052,18507846,2.1612,5329093,139285,0.2879,0.0075,2.6137%,3.4821,6383690,45.8319,159.5920,20000052,8599483,2.3257,2669216,67002,0.3104,0.0078,2.5102%,3.3501,2722348,40.6308,136.1170
int,int_24_trace,145.24023818969727,Pass,7308.58797121048,40000051,14743684,2.7130,8385203,24153,0.5687,0.0016,0.2880%,0.6038,2961263,122.6044,74.0315,20000051,7068412,2.8295,4599578,10645,0.6507,0.0015,0.2314%,0.5322,1391885,130.7548,69.5941
int,int_25_trace,169.04896354675293,Pass,6587.089565992355,40000052,7748971,5.1620,2766410,61650,0.3570,0.0080,2.2285%,1.5412,2140762,34.7244,53.5190,20000052,4290039,4.6620,1541724,50800,0.3594,0.0118,3.2950%,2.5400,1615100,31.7933,80.7548
int,int_26_trace,197.17267227172852,Pass,7018.8421766757965,40000052,6861512,5.8296,2130479,57546,0.3105,0.0084,2.7011%,1.4386,1867854,32.4585,46.6963,20000052,3224025,6.2034,1067816,26959,0.3312,0.0084,2.5247%,1.3479,890106,33.0170,44.5052
